vintage_name|wine_name|year|region|bodega|varietal_name|grape_varieties|price|acidity|intensity|sweetness|tannin|wine_ratings_count|wine_ratings_average|red/white
Rupestre de Alpera Roble Garnacha Tintorera 2023|Roble Garnacha Tintorera|2023|Almansa|Rupestre de Alpera|Tinto|Grenache., Tempranillo|7.5|3.1474795|3.841543|1.9714876|2.8469286|410|4.1|white
Baigorri Reserva Rioja Tempranillo 2015|Reserva Rioja Tempranillo|2015|Rioja|Baigorri|Tinto de Rioja|Tempranillo, Graciano, Garnacha|21.16|3.7750945|3.8905087|1.7292575|3.9508526|7070|4.0|white
Hermanos Peciña Señorío de P. Peciña Crianza 2016|Señorío de P. Peciña Crianza|2016|Rioja|Hermanos Peciña|Tinto de Rioja|Tempranillo, Graciano, Garnacha|12.0|3.775633|3.8676775|1.4517783|3.6649816|5664|4.0|white
Cruz de Alba Ribera del Duero Reserva 2017|Ribera del Duero Reserva|2017|Ribera del Duero|Cruz de Alba|Tinto de Ribera del Duero|Tempranillo|25.63|3.7566476|4.0176435|1.7941648|3.565721|395|4.1|white
Cruz de Alba Ribera del Duero Reserva 2016|Ribera del Duero Reserva|2016|Ribera del Duero|Cruz de Alba|Tinto de Ribera del Duero|Tempranillo|28.4|3.7566476|4.0176435|1.7941648|3.565721|395|4.1|white
Martín Faixó Cadac 2011|Cadac|2011|Empordà|Martín Faixó|Tinto|Grenache., Tempranillo|30.55|3.2158575|3.9177213|2.0074222|3.3633947|394|4.1|white
R. López de Heredia Viña Cubillo 2016|Viña Cubillo|2016|Rioja Alta|R. López de Heredia|Tinto de Rioja|Tempranillo, Graciano, Garnacha|15.48|3.8807433|3.747715|1.5314579|3.769763|21579|4.0|white
Descendientes de J. Palacios Villa de Corullón Bierzo 2019|Villa de Corullón Bierzo|2019|Bierzo|Descendientes de J. Palacios|Mencía|Mencía|45.05|3.5370674|3.5439196|1.6526723|2.9890983|7606|4.1|white
Lan Xtréme Ecológico Crianza 2018|Xtréme Ecológico Crianza|2018|Rioja|Lan|Tinto de Rioja|Tempranillo, Graciano, Garnacha|15.06|3.5434947|3.5867968|1.9156657|3.5625572|1288|4.0|white
Remelluri Lindes de Remelluri Viñedos de San Vicente 2019|Lindes de Remelluri Viñedos de San Vicente|2019|Rioja|Remelluri|Tinto de Rioja|Tempranillo, Graciano, Garnacha|16.94|3.502734|3.5382562|1.7409556|3.4885242|4982|3.9|white
