vintage_name|wine_name|year|region|bodega|varietal_name|grape_names|price|acidity|fizziness|intensity|sweetness|tannin|ratings_count|ratings_average|wine_ratings_count|wine_ratings_average
Avancia Godello 2023|Godello|2023|Valdeorras|Avancia|Godello|Godello|29.2|3.5766668||3.0033333|1.5533333||3819|4.2|3819|4.2
Mar de Frades Albariño Atlantico 2022|Albariño Atlantico|2022|Rías Baixas|Mar de Frades|Albariño|Albariño|16.9|3.7385323||1.8133229|1.534351||3438|4.2|40156|4.1
Clos Mogador Nelin 2021|Nelin|2021|Priorato|Clos Mogador|White||45.8|3.1139998||3.2985492|1.1274903||3088|4.2|3088|4.2
Pazo de Rubianes Albariño 2023|Albariño|2023|Rías Baixas|Pazo de Rubianes|Albariño|Albariño|16.2|3.7205129||2.2530751|1.7215718||2621|4.2|2621|4.2
Bodegas El Paraguas Atlántico 2023|Atlántico|2023|Ribeiro|Bodegas El Paraguas|White||21.5|3.3994846||3.1446667|1.1540909||2224|4.2|2224|4.2
Valdesil Pezas da Portela Godello 2022|Pezas da Portela Godello|2022|Valdeorras|Valdesil|Godello|Godello|35.0|3.7492683||2.9590244|1.3219513||2029|4.2|2029|4.2
Tomás Postigo Fermentado En Barrica Blanco 2022|Fermentado En Barrica Blanco|2022|Castilla y León|Tomás Postigo|Verdejo|Verdejo|31.5|3.2316005||2.8463092|2.3458624||1957|4.2|1957|4.2
Shaya Habis 2021|Habis|2021|Rueda|Shaya|Verdejo|Verdejo|23.55|3.240296||2.6643114|2.3401299||1345|4.2|1345|4.2
Adega Familiar Eladio Piñeiro Frore de Carme 2018|Frore de Carme|2018|Rías Baixas|Adega Familiar Eladio Piñeiro|Albariño|Albariño|46.15|3.6612031||2.4863567|1.996988||1256|4.2|1256|4.2
Ossian Viñas Viejas Verdejo 2018|Viñas Viejas Verdejo|2018|Castilla y León|Ossian|Verdejo|Verdejo|36.0|3.255563||2.721581|2.4112735||1146|4.2|10298|4.2
La Caña Navia Albarino 2021|Navia Albarino|2021|Rías Baixas|La Caña|Albariño|Albariño|23.47|3.62729||1.9664226|1.6711452||1111|4.2|1111|4.2
La Caña Navia Albarino 2022|Navia Albarino|2022|Rías Baixas|La Caña|Albariño|Albariño|23.45|3.62729||1.9664226|1.6711452||1111|4.2|1111|4.2
Can Ràfols dels Caus El Rocallís 2021|El Rocallís|2021|Cataluña|Can Ràfols dels Caus|White||42.2|3.0||2.911712|1.688919||1072|4.2|1072|4.2
Enate Chardonnay Fermentado en Barrica 2021|Chardonnay Fermentado en Barrica|2021|Somontano|Enate|Chardonnay|Chardonnay|20.92|3.1135397||3.3608634|1.6049712||855|4.2|6781|4.2
