vintage_name|wine_name|year|region|bodega|varietal_name|grape_varieties|price|acidity|intensity|sweetness|tannin|wine_ratings_count|wine_ratings_average|red/white
Bodegas Vilano Crianza 2020|Crianza|2020|Ribera del Duero|Bodegas Vilano|Tinto de Ribera del Duero|Tempranillo|12.53|3.7847617|3.9110231|1.7892398|3.5786939|5082|3.8|white
Bodega Elias Mora Toro Crianza 2020|Toro Crianza|2020|Toro|Bodega Elias Mora|Tinto de Toro|Tempranillo|12.7|2.7805655|4.3397813|1.7785255|3.354488|7002|4.0|white
Azpilicueta Reserva 2017|Reserva|2017|Rioja|Azpilicueta|Tinto de Rioja|Tempranillo, Graciano, Garnacha|15.4|3.684666|3.7043858|1.5849701|3.6700122|2654|3.8|white
Baron de Ley Varietales Graciano Rioja 2020|Varietales Graciano Rioja|2020|Rioja|Baron de Ley|Tinto de Rioja|Tempranillo, Graciano, Garnacha|11.95|3.867139|3.8601701|1.7166938|3.9738243|3654|3.8|white
Bodegas Exopto La Mimbrera de Exopto Graciano Tinto 2022|La Mimbrera de Exopto Graciano Tinto|2022|Rioja|Bodegas Exopto|Tinto de Rioja|Tempranillo, Graciano, Garnacha|31.7|3.7847462|3.588047|1.7844336|3.9007812|109|4.0|white
Casar de Burbia Hombros 2020|Hombros|2020|Bierzo|Casar de Burbia|Mencía|Mencía|18.5|3.8278842|3.610693|1.9349488|3.095841|1688|3.8|white
Pago Finca Élez Finca Élez 2020|Finca Élez|2020|Finca Élez|Pago Finca Élez|Tinto|Grenache., Tempranillo|12.9|3.0292048|3.714636|1.4853369|3.193469|201|4.0|white
Bodegas Mauro Valeyo Tinto 2021|Valeyo Tinto|2021|Bierzo|Bodegas Mauro|Tinto|Grenache., Tempranillo|29.9|3.1035056|3.0972953|2.714808|2.9642737|135|4.1|white
Vinícola Real Cueva del Monge Rioja 2017|Cueva del Monge Rioja|2017|Rioja|Vinícola Real|Tinto de Rioja|Tempranillo, Graciano, Garnacha|20.6|3.5641124|3.7186806|2.09929|3.6026392|851|3.9|white
Mas Llunes Rhodes 2021|Rhodes|2021|Empordà|Mas Llunes|Tinto|Grenache., Tempranillo|15.19|3.065312|3.8087773|2.0483963|3.2234654|1546|3.9|white
